Koide Q scan — all quark triplets with sign and inverse variations
Target Q = 2/3 = 0.666667
Quark masses (PDG 2024 MSbar, MeV): u=2.16, d=4.67, s=93.4, c=1270, b=4183, t=162500

Total cases enumerated: 623
  Dimensionally valid   (n_inv=0 or 3, all MeV^{+/-1/2}): 151
  Dimensionally INVALID (n_inv=1 or 2, mixes MeV^{+1/2} and MeV^{-1/2}): 472 [marked *]

NOTE: Mixed triples (n_inv=1 or 2) sum sqrt(m) and 1/sqrt(m) with
      incompatible dimensions -- Q has no physical meaning for these.
      UNIT DEPENDENCE TEST: Q(s,c,1/b) = 0.6639 in MeV but 0.4340 in GeV.
      The 'near-2/3' values for mixed triples are a MeV-unit artifact.
      All-direct and all-inverse Q values are unit-independent (scale-invariant).

Legend:
  1/x  = inverse mass used for quark x
  -x   = negative sqrt (sign flip in Koide root)
  n_inv = number of inverted quarks, n_neg = number with negative sqrt
  *    = dimensionally invalid (mixed direct and inverse)

Rank  Triplet                                   Q      |Q-2/3|  n_inv  n_neg   dim
125   (1/c, 1/b, 1/t)                    0.487941     0.178726      3      0   ok
126   (u, 1/s, 1/c)                      0.846940     0.180273      2      0   * 
127   (1/u, c, t)                        0.848116     0.181450      1      0   * 
128   (1/d, c, t)                        0.848956     0.182289      1      0   * 
129   (1/s, c, t)                        0.850345     0.183679      1      0   * 
130   (c, 1/b, t)                        0.850687     0.184020      1      0   * 
131   (c, -1/b, t)                       0.850807     0.184140      1      1   * 
132   (1/s, -c, -t)                      0.851148     0.184481      1      2   * 
133   (1/d, -c, -t)                      0.852545     0.185878      1      2   * 
134   (1/u, -c, -t)                      0.853394     0.186727      1      2   * 
135   (u, -c, -t)                        0.856486     0.189819      0      2   ok
136   (d, -c, -t)                        0.859214     0.192547      0      2   ok
137   (u, 1/s, 1/b)                      0.860210     0.193543      2      0   * 
138   (1/u, d, c)                        0.861230     0.194564      1      0   * 
139   (1/s, 1/c, -1/b)                   0.870881     0.204214      3      1   ok
140   (1/u, s, 1/c)                      0.872373     0.205707      2      0   * 
141   (u, 1/s, 1/t)                      0.874348     0.207681      2      0   * 
142   (1/u, s, 1/b)                      0.874491     0.207825      2      0   * 
